Point	Row	Column	FWHM_110
1	1	1	0.68888283
2	1	2	0.61114389
3	1	3	0.59954649
4	1	4	0.59835875
5	1	5	0.63184124
6	1	6	0.60178429
7	1	7	0.65890223
8	1	8	0.96186686
9	1	9	
10	1	10	0.79172981
11	1	11	0.79055607
12	2	1	0.59402907
13	2	2	0.61864316
14	2	3	0.59149897
15	2	4	0.5841468
16	2	5	0.59820753
17	2	6	0.56687772
18	2	7	0.59696442
19	2	8	0.58689821
20	2	9	0.59448296
21	2	10	
22	2	11	0.82992327
23	3	1	0.65072572
24	3	2	0.59147477
25	3	3	0.58146089
26	3	4	0.58944881
27	3	5	0.60194564
28	3	6	0.57539272
29	3	7	0.56999153
30	3	8	0.60424489
31	3	9	0.60729069
32	3	10	0.91682345
33	3	11	
34	4	1	0.81839234
35	4	2	0.92253298
36	4	3	
37	4	4	0.64457536
38	4	5	0.65824074
39	4	6	0.6125316
40	4	7	0.68143159
41	4	8	0.89729482
42	4	9	
43	4	10	0.80958265
44	4	11	0.80509216
