Point	Row	Column	MaxInt_110
1	1	1	1357.0111
2	1	2	1364.5968
3	1	3	1257.1627
4	1	4	1210.803
5	1	5	1128.6674
6	1	6	1159.4113
7	1	7	1176.6484
8	1	8	1187.8529
9	1	9	
10	1	10	3769.5142
11	1	11	3902.9946
12	2	1	1262.1456
13	2	2	1099.0239
14	2	3	1035.8107
15	2	4	971.8399
16	2	5	880.08594
17	2	6	959.8866
18	2	7	931.16559
19	2	8	997.89319
20	2	9	1051.3575
21	2	10	
22	2	11	3332.1372
23	3	1	1230.9979
24	3	2	1101.5807
25	3	3	1044.366
26	3	4	953.13983
27	3	5	972.6004
28	3	6	946.0849
29	3	7	999.73157
30	3	8	1018.5844
31	3	9	1060.472
32	3	10	1088.4567
33	3	11	
34	4	1	3600.2703
35	4	2	2843.9819
36	4	3	
37	4	4	1228.0706
38	4	5	1160.8531
39	4	6	1218.3085
40	4	7	1187.8479
41	4	8	1177.4166
42	4	9	
43	4	10	3671.8049
44	4	11	3861.4302
