Point	Row	Column	Pos_110
1	1	1	30.358519
2	1	2	30.375761
3	1	3	30.377899
4	1	4	30.377691
5	1	5	30.372341
6	1	6	30.36912
7	1	7	30.350159
8	1	8	30.250731
9	1	9	
10	1	10	30.047625
11	1	11	30.051865
12	2	1	30.39876
13	2	2	30.38941
14	2	3	30.399204
15	2	4	30.398859
16	2	5	30.393679
17	2	6	30.39352
18	2	7	30.381598
19	2	8	30.386513
20	2	9	30.377422
21	2	10	
22	2	11	30.047815
23	3	1	30.397781
24	3	2	30.407202
25	3	3	30.411488
26	3	4	30.402672
27	3	5	30.412067
28	3	6	30.391903
29	3	7	30.408543
30	3	8	30.398109
31	3	9	30.3888
32	3	10	30.29594
33	3	11	
34	4	1	30.113064
35	4	2	30.110533
36	4	3	
37	4	4	30.396763
38	4	5	30.393688
39	4	6	30.403204
40	4	7	30.380878
41	4	8	30.327271
42	4	9	
43	4	10	30.093735
44	4	11	30.097906
