Point	Row	Column	Points
1	1	1	1
2	1	2	2
3	1	3	3
4	1	4	4
5	1	5	5
6	1	6	6
7	1	7	7
8	1	8	8
9	1	9	9
10	1	10	10
11	1	11	11
12	2	1	12
13	2	2	13
14	2	3	14
15	2	4	15
16	2	5	16
17	2	6	17
18	2	7	18
19	2	8	19
20	2	9	20
21	2	10	21
22	2	11	22
23	3	1	23
24	3	2	24
25	3	3	25
26	3	4	26
27	3	5	27
28	3	6	28
29	3	7	29
30	3	8	30
31	3	9	31
32	3	10	32
33	3	11	33
34	4	1	34
35	4	2	35
36	4	3	36
37	4	4	37
38	4	5	38
39	4	6	39
40	4	7	40
41	4	8	41
42	4	9	42
43	4	10	43
44	4	11	44
