Point	Row	Column	Frac_110
1	1	1	0.5110302
2	1	2	0.56147158
3	1	3	1
4	1	4	1
5	1	5	1
6	1	6	0.62194419
7	1	7	1
8	1	8	
9	1	9	1
10	1	10	1
11	1	11	1
12	2	1	0.49836865
13	2	2	0.59427828
14	2	3	0.73968756
15	2	4	0.74788231
16	2	5	1
17	2	6	0.63533771
18	2	7	0.7466172
19	2	8	1
20	2	9	0.61926699
21	2	10	0.561804
22	2	11	1
23	3	1	0.48676422
24	3	2	0.74903071
25	3	3	0.68938845
26	3	4	0.71004212
27	3	5	0.62004769
28	3	6	0.67082101
29	3	7	1
30	3	8	0.60679698
31	3	9	0.52815729
32	3	10	0.5703848
33	3	11	1
34	4	1	0.68854272
35	4	2	1
36	4	3	1
37	4	4	1
38	4	5	0.46467543
39	4	6	0.51923037
40	4	7	1
41	4	8	1
42	4	9	1
43	4	10	1
44	4	11	1
