Point	Zr_at
1.	0.099391998
2.	0.11637017
3.	0.13882659
4.	0.14731126
5.	0.15361905
6.	0.15838796
7.	0.16075917
8.	0.14949922
9.	0.1598265
10.	0.16161169
11.	0.15590651
12.	0.10337532
13.	0.11917129
14.	0.13893293
15.	0.14650689
16.	0.15167548
17.	0.15381816
18.	0.15658671
19.	0.14758529
20.	0.15687428
21.	0.15469767
22.	0.1509392
23.	0.10735864
24.	0.12197242
25.	0.13903925
26.	0.14570251
27.	0.1497319
28.	0.14924835
29.	0.15241426
30.	0.14567137
31.	0.15392205
32.	0.14778365
33.	0.14597189
34.	0.11163279
35.	0.12645254
36.	0.14229023
37.	0.14644098
38.	0.14869662
39.	0.14080946
40.	0.14834526
41.	0.14418635
42.	0.15368108
43.	0.13698192
44.	0.14039288
45.	0.11008886
46.	0.12313854
47.	0.13568929
48.	0.1408788
49.	0.14281264
50.	0.13692625
51.	0.14109062
52.	0.13857514
53.	0.14518383
54.	0.13057847
55.	0.13264459
56.	0.11008886
57.	0.12313854
58.	0.13568929
59.	0.1408788
60.	0.14281264
61.	0.13692625
62.	0.14109062
63.	0.13857514
64.	0.14518383
65.	0.13057847
66.	0.13264459
67.	0.1359013
68.	0.13604489
69.	0.13355121
70.	0.14279257
71.	0.14726506
72.	0.14650455
73.	0.13220488
74.	0.14017123
75.	0.1298808
76.	0.12612972
77.	0.12407663
78.	0.12914157
79.	0.13158077
80.	0.12823981
81.	0.13620436
82.	0.13688755
83.	0.13978577
84.	0.12935197
85.	0.13424154
86.	0.1275055
87.	0.12473556
88.	0.12126468
89.	0.12789866
90.	0.13065702
91.	0.12718665
92.	0.13501806
93.	0.13519686
94.	0.13859901
95.	0.12863346
96.	0.13313412
97.	0.12684219
98.	0.12419049
99.	0.12051314
100.	0.096244201
101.	0.10985539
102.	0.10239104
103.	0.10414175
104.	0.086383706
105.	0.10708764
106.	0.11546782
107.	0.10538372
108.	0.11594573
109.	0.11795065
110.	0.10757981
111.	0.10300393
112.	0.11431951
113.	0.10770243
114.	0.11072996
115.	0.096761213
116.	0.11380643
117.	0.11832073
118.	0.11131341
119.	0.11832102
120.	0.11934481
121.	0.11039177
122.	0.10976367
123.	0.11878363
124.	0.11301383
125.	0.11731816
126.	0.10713872
127.	0.12052523
128.	0.12117364
129.	0.1172431
130.	0.12069632
131.	0.12073897
132.	0.11320373
