Point	ASR
1	11868937
2	3791274
3	2905470.5
4	6885114.5
5	5518836
6	5705132.5
7	4962774
8	6133017
9	6624362.5
10	11632061
11	11434141
12	3748611.2
13	3928561.5
14	4063650
15	4098836
16	4159154.5
17	3582986.5
18	3502656
19	4479597
20	4249318
21	5740946.5
22	7079265
23	3204424.5
24	3620371.2
25	3330402.2
26	2721561.8
27	2632164.5
28	2969747.5
29	3203010.8
30	3218875.8
31	3456694.5
32	3547800.5
33	5910906.5
34	2515787.5
35	2493796.2
36	2364676.8
37	2518929
38	2338287.5
39	2293111.2
40	1921146.8
41	2332946.8
42	2362791.8
43	2619145.8
44	3224216.5
45	1531840.6
46	1627659.1
47	1512394.1
48	1838145.9
49	1725959.6
50	1753167.2
51	1830606
52	2024725
53	2333260.8
54	2361535.2
55	2934561.8
56	1422199
57	1348999.9
58	1386070.6
59	1382426.4
60	1339386.6
61	1319468.9
62	1193491
63	1426377.2
64	1690202
65	1753637
66	1904056.5
67	1329679.1
68	1204926.5
69	1210644.1
70	1128145.9
71	938550.81
72	1090446.8
73	1126801.4
74	1145738.9
75	1228048.6
76	1651221.1
77	2028903.4
78	1311269.4
79	1134115
80	979108.75
81	1071660.1
82	974207.88
83	969024.25
84	1184474.6
85	1206999.9
86	1321982.2
87	1582514.5
88	2113349.5
89	1228174.2
90	1069178.2
91	836291.94
92	847067.62
93	839747.69
94	787534.44
95	911878.69
96	960416.31
97	896296.38
98	1399234
99	4034433.2
100	1142345.9
101	965097.25
102	786183.56
103	841004.38
104	868022.06
105	871352.12
106	3620057.2
107	3374070.5
108	5879490.5
109	3753040.8
110	4571551.5
111	1215105.2
112	1246364
113	994942.38
114	980679.56
115	1022022.9
116	5190225
117	3164840.5
118	3542145.8
119	3782791.8
120	6779557
121	5934468.5
122	1287110.5
123	2982314
124	1254343.8
125	960384.88
126	1177060.5
127	3234898
128	3655557.2
129	4731238.5
130	4042915.5
131	4702650
132	8057871
