Point	Fe_at
1.	0.18208911
2.	0.17819732
3.	0.17376315
4.	0.17274535
5.	0.17898364
6.	0.1764295
7.	0.17834386
8.	0.18165259
9.	0.17969055
10.	0.18202958
11.	0.1874577
12.	0.17958169
13.	0.17778957
14.	0.17500506
15.	0.17604142
16.	0.18370789
17.	0.18494697
18.	0.18796116
19.	0.19157635
20.	0.19140625
21.	0.19608608
22.	0.20192021
23.	0.17707427
24.	0.1773818
25.	0.176247
26.	0.17933749
27.	0.18843214
28.	0.19346443
29.	0.19757847
30.	0.2015001
31.	0.20312193
32.	0.21014258
33.	0.21638274
34.	0.17376497
35.	0.17569534
36.	0.17598179
37.	0.18218279
38.	0.19344836
39.	0.20696178
40.	0.21050917
41.	0.21536538
42.	0.21813343
43.	0.22912924
44.	0.23328634
45.	0.17060125
46.	0.17522365
47.	0.1773985
48.	0.18487364
49.	0.19742324
50.	0.21051274
51.	0.21711834
52.	0.22189662
53.	0.22728051
54.	0.23950243
55.	0.24693869
56.	0.17060125
57.	0.17522365
58.	0.1773985
59.	0.18487364
60.	0.19742324
61.	0.21051274
62.	0.21711834
63.	0.22189662
64.	0.22728051
65.	0.23950243
66.	0.24693869
67.	0.17093326
68.	0.1853635
69.	0.19199969
70.	0.19979152
71.	0.21189033
72.	0.21830444
73.	0.23619676
74.	0.23216295
75.	0.24621928
76.	0.26148918
77.	0.27881724
78.	0.16685371
79.	0.18067314
80.	0.18926725
81.	0.19933645
82.	0.21322381
83.	0.22099492
84.	0.2377453
85.	0.24009277
86.	0.25410143
87.	0.26795369
88.	0.28592404
89.	0.16614939
90.	0.17995276
91.	0.18885008
92.	0.19927234
93.	0.21346541
94.	0.2214553
95.	0.23813243
96.	0.24134596
97.	0.25541494
98.	0.26914321
99.	0.28728517
100.	0.14699988
101.	0.15784664
102.	0.17596933
103.	0.1971218
104.	0.21971345
105.	0.23408853
106.	0.24528151
107.	0.2786845
108.	0.29246128
109.	0.29941431
110.	0.32051051
111.	0.15107944
112.	0.16253702
113.	0.17870177
114.	0.19757687
115.	0.21837996
116.	0.23139806
117.	0.24373297
118.	0.27075468
119.	0.28457913
120.	0.2929498
121.	0.3134037
122.	0.15515898
123.	0.16722739
124.	0.18143422
125.	0.19803194
126.	0.21704648
127.	0.22870758
128.	0.24218443
129.	0.26282486
130.	0.27669695
131.	0.28648528
132.	0.3062969
