Point	Row	Column	d_um
1	1	1	0.067419998
2	1	2	0.071110003
3	1	3	0.072690003
4	1	4	0.07598
5	1	5	0.078649998
6	1	6	0.079350002
7	1	7	0.079060003
8	1	8	0.077140003
9	1	9	0.074210003
10	1	10	0.070699997
11	1	11	0.066940002
12	2	1	0.073899999
13	2	2	0.07869
14	2	3	0.083520003
15	2	4	0.088459998
16	2	5	0.09138
17	2	6	0.091980003
18	2	7	0.090680003
19	2	8	0.090190001
20	2	9	0.086649999
21	2	10	0.081019998
22	2	11	0.075170003
23	3	1	0.072810002
24	3	2	0.07784
25	3	3	0.081780002
26	3	4	0.085770003
27	3	5	0.08918
28	3	6	0.09065
29	3	7	0.089309998
30	3	8	0.087630004
31	3	9	0.084409997
32	3	10	0.079350002
33	3	11	0.074830003
34	4	1	0.061330002
35	4	2	0.066579998
36	4	3	0.071039997
37	4	4	0.07418
38	4	5	0.07463
39	4	6	0.074380003
40	4	7	0.074929997
41	4	8	0.073349997
42	4	9	0.071390003
43	4	10	0.068120003
44	4	11	0.064139999
