Point	Row	Column	110_s_Area
1	1	1	0.071610399
2	1	2	0.071175665
3	1	3	0.076143622
4	1	4	0.068137214
5	1	5	0.075516045
6	1	6	0.076087095
7	1	7	0.075285628
8	1	8	0.072148733
9	1	9	0.087228209
10	1	10	0.12264179
11	1	11	0.21491134
12	2	1	0.063071288
13	2	2	0.064693153
14	2	3	0.068748623
15	2	4	0.069150947
16	2	5	0.068895407
17	2	6	0.064430572
18	2	7	0.065578543
19	2	8	0.07334888
20	2	9	0.073061205
21	2	10	0.11461058
22	2	11	0.1698907
23	3	1	0.071380548
24	3	2	0.070690468
25	3	3	0.070450388
26	3	4	0.068292432
27	3	5	0.067958981
28	3	6	0.072632253
29	3	7	0.071224034
30	3	8	0.071324199
31	3	9	0.080773354
32	3	10	0.09696921
33	3	11	0.16395763
34	4	1	0.058828536
35	4	2	0.077653058
36	4	3	0.074847661
37	4	4	0.071187876
38	4	5	0.070941865
39	4	6	0.070184045
40	4	7	0.069948092
41	4	8	0.071830973
42	4	9	0.085946374
43	4	10	0.10531722
44	4	11	0.19409445
