Point	Row	Column	Y_at
1	1	1	0.15604669
2	1	2	0.1524443
3	1	3	0.14718099
4	1	4	0.14949104
5	1	5	0.15877588
6	1	6	0.15627018
7	1	7	0.1590558
8	1	8	0.1459288
9	1	9	0.15845832
10	1	10	0.14081626
11	1	11	0.15372144
12	2	1	0.15855893
13	2	2	0.15978028
14	2	3	0.15689529
15	2	4	0.16264616
16	2	5	0.15600359
17	2	6	0.16240275
18	2	7	0.15814286
19	2	8	0.15934095
20	2	9	0.15548569
21	2	10	0.15281065
22	2	11	0.15913604
23	3	1	0.16005439
24	3	2	0.16445714
25	3	3	0.15737939
26	3	4	0.16493718
27	3	5	0.160353
28	3	6	0.16353455
29	3	7	0.15797022
30	3	8	0.16127616
31	3	9	0.15798263
32	3	10	0.1518881
33	3	11	0.15330724
34	4	1	0.15742497
35	4	2	0.15849042
36	4	3	0.15727484
37	4	4	0.15426089
38	4	5	0.16359797
39	4	6	0.1564281
40	4	7	0.15307833
41	4	8	0.16102093
42	4	9	0.15699133
43	4	10	0.16079423
44	4	11	0.14470917
