Point	Row	Column	Fe_at
1	1	1	0.035805199
2	1	2	0.035587832
3	1	3	0.038071811
4	1	4	0.034068607
5	1	5	0.037758023
6	1	6	0.038043547
7	1	7	0.037642814
8	1	8	0.036074366
9	1	9	0.043614104
10	1	10	0.061320897
11	1	11	0.10745567
12	2	1	0.031535644
13	2	2	0.032346576
14	2	3	0.034374312
15	2	4	0.034575474
16	2	5	0.034447704
17	2	6	0.032215286
18	2	7	0.032789271
19	2	8	0.03667444
20	2	9	0.036530603
21	2	10	0.057305291
22	2	11	0.084945351
23	3	1	0.035690274
24	3	2	0.035345234
25	3	3	0.035225194
26	3	4	0.034146216
27	3	5	0.03397949
28	3	6	0.036316127
29	3	7	0.035612017
30	3	8	0.0356621
31	3	9	0.040386677
32	3	10	0.048484605
33	3	11	0.081978813
34	4	1	0.029414268
35	4	2	0.038826529
36	4	3	0.03742383
37	4	4	0.035593938
38	4	5	0.035470933
39	4	6	0.035092022
40	4	7	0.034974046
41	4	8	0.035915487
42	4	9	0.042973187
43	4	10	0.05265861
44	4	11	0.097047225
