Point	Row	Column	_s_MaxIntensity
1	1	1	0.10977636
2	1	2	0.096623957
3	1	3	0.097470447
4	1	4	0.1014556
5	1	5	0.090149857
6	1	6	0.066813692
7	1	7	0.10293066
8	1	8	0.080790572
9	1	9	0.071863212
10	1	10	0.091520287
11	1	11	0.11264604
12	2	1	0.12662038
13	2	2	0.12501374
14	2	3	0.12365814
15	2	4	0.13193503
16	2	5	0.11757828
17	2	6	0.099048354
18	2	7	0.10101509
19	2	8	0.12508778
20	2	9	0.092916675
21	2	10	0.10223875
22	2	11	0.14029385
23	3	1	0.11547066
24	3	2	0.13079379
25	3	3	0.13650283
26	3	4	0.13129577
27	3	5	0.12287736
28	3	6	0.13256896
29	3	7	0.11230439
30	3	8	0.11619371
31	3	9	0.11755706
32	3	10	0.1027981
33	3	11	0.15640342
34	4	1	0.10260109
35	4	2	0.11351063
36	4	3	0.11805941
37	4	4	0.11526943
38	4	5	0.13093433
39	4	6	0.1018826
40	4	7	0.11757393
41	4	8	0.091033585
42	4	9	0.10381299
43	4	10	0.12601501
44	4	11	0.18037011
