Point	Row	Column	_s_FWHM
1	1	1	0.72607249
2	1	2	0.72055972
3	1	3	0.72696483
4	1	4	0.73433632
5	1	5	0.69708204
6	1	6	0.67818624
7	1	7	0.70953345
8	1	8	0.71678424
9	1	9	0.66771835
10	1	10	0.68724597
11	1	11	0.5902918
12	2	1	0.74643123
13	2	2	0.74076003
14	2	3	0.74111891
15	2	4	0.73749173
16	2	5	0.73667568
17	2	6	0.70981228
18	2	7	0.71915078
19	2	8	0.73305702
20	2	9	0.70888412
21	2	10	0.6820069
22	2	11	0.65213108
23	3	1	0.72398138
24	3	2	0.73118901
25	3	3	0.75129366
26	3	4	0.73312896
27	3	5	0.7342124
28	3	6	0.7328676
29	3	7	0.72513992
30	3	8	0.72231716
31	3	9	0.72081846
32	3	10	0.70205271
33	3	11	0.68583131
34	4	1	0.72892261
35	4	2	0.71887672
36	4	3	0.72866207
37	4	4	0.73555976
38	4	5	0.73279649
39	4	6	0.71884239
40	4	7	0.74146914
41	4	8	0.69716072
42	4	9	0.70388395
43	4	10	0.69910932
44	4	11	0.69685733
