Point	Row	Column	_s_Sigma
1	1	1	0.31209338
2	1	2	0.30488861
3	1	3	0.29436198
4	1	4	0.29898208
5	1	5	0.31755176
6	1	6	0.31254035
7	1	7	0.3181116
8	1	8	0.2918576
9	1	9	0.31691664
10	1	10	0.28163251
11	1	11	0.30744287
12	2	1	0.31711787
13	2	2	0.31956056
14	2	3	0.31379059
15	2	4	0.32529232
16	2	5	0.31200719
17	2	6	0.3248055
18	2	7	0.31628573
19	2	8	0.3186819
20	2	9	0.31097138
21	2	10	0.3056213
22	2	11	0.31827208
23	3	1	0.32010877
24	3	2	0.32891428
25	3	3	0.31475878
26	3	4	0.32987437
27	3	5	0.32070601
28	3	6	0.3270691
29	3	7	0.31594044
30	3	8	0.32255232
31	3	9	0.31596527
32	3	10	0.3037762
33	3	11	0.30661449
34	4	1	0.31484994
35	4	2	0.31698084
36	4	3	0.31454968
37	4	4	0.30852178
38	4	5	0.32719594
39	4	6	0.3128562
40	4	7	0.30615667
41	4	8	0.32204187
42	4	9	0.31398267
43	4	10	0.32158846
44	4	11	0.28941834
