Point	Row	Column	Norm_d
1	1	1	0.59815478
2	1	2	0.58158207
3	1	3	0.57133096
4	1	4	0.55356228
5	1	5	0.48060822
6	1	6	0.41158381
7	1	7	0.35451904
8	1	8	0.25644967
9	1	9	0.15564668
10	1	10	0.0936272
11	1	11	0
12	2	1	0.98393989
13	2	2	0.98052281
14	2	3	1
15	2	4	0.96617121
16	2	5	0.87920725
17	2	6	0.77754998
18	2	7	0.66393304
19	2	8	0.53989404
20	2	9	0.39842814
21	2	10	0.27063045
22	2	11	0.17563643
23	3	1	0.92243296
24	3	2	0.98599011
25	3	3	0.98872375
26	3	4	0.94908595
27	3	5	0.89355886
28	3	6	0.7958312
29	3	7	0.68101829
30	3	8	0.54997438
31	3	9	0.42508116
32	3	10	0.30480096
33	3	11	0.19630958
34	4	1	0.56432599
35	4	2	0.57235605
36	4	3	0.57286859
37	4	4	0.56449682
38	4	5	0.52878863
39	4	6	0.44695029
40	4	7	0.38646847
41	4	8	0.30138391
42	4	9	0.21937469
43	4	10	0.14932513
44	4	11	0.0669742
