Point	Row	Column	Zr_at
1	1	1	0.36303625
2	1	2	0.36027986
3	1	3	0.36348242
4	1	4	0.36716816
5	1	5	0.34854102
6	1	6	0.33909312
7	1	7	0.35476673
8	1	8	0.35839212
9	1	9	0.33385918
10	1	10	0.34362298
11	1	11	0.2951459
12	2	1	0.37321562
13	2	2	0.37038001
14	2	3	0.37055945
15	2	4	0.36874586
16	2	5	0.36833784
17	2	6	0.35490614
18	2	7	0.35957539
19	2	8	0.36652851
20	2	9	0.35444206
21	2	10	0.34100345
22	2	11	0.32606554
23	3	1	0.36199069
24	3	2	0.36559451
25	3	3	0.37564683
26	3	4	0.36656448
27	3	5	0.3671062
28	3	6	0.3664338
29	3	7	0.36256996
30	3	8	0.36115858
31	3	9	0.36040923
32	3	10	0.35102636
33	3	11	0.34291565
34	4	1	0.3644613
35	4	2	0.35943836
36	4	3	0.36433104
37	4	4	0.36777988
38	4	5	0.36639825
39	4	6	0.35942119
40	4	7	0.37073457
41	4	8	0.34858036
42	4	9	0.35194197
43	4	10	0.34955466
44	4	11	0.34842867
