Point	Row	Column	d_um
1	1	1	0.073140003
2	1	2	0.072169997
3	1	3	0.071570002
4	1	4	0.070529997
5	1	5	0.066260003
6	1	6	0.06222
7	1	7	0.058880001
8	1	8	0.05314
9	1	9	0.04724
10	1	10	0.043609999
11	1	11	0.03813
12	2	1	0.095720001
13	2	2	0.095519997
14	2	3	0.096660003
15	2	4	0.094679996
16	2	5	0.089589998
17	2	6	0.083640002
18	2	7	0.076990001
19	2	8	0.069729999
20	2	9	0.061450001
21	2	10	0.053970002
22	2	11	0.048409998
23	3	1	0.092119999
24	3	2	0.09584
25	3	3	0.096000001
26	3	4	0.093680002
27	3	5	0.090429999
28	3	6	0.084710002
29	3	7	0.077990003
30	3	8	0.070320003
31	3	9	0.06301
32	3	10	0.055969998
33	3	11	0.049619999
34	4	1	0.071160004
35	4	2	0.071630001
36	4	3	0.071659997
37	4	4	0.071170002
38	4	5	0.069080003
39	4	6	0.064290002
40	4	7	0.06075
41	4	8	0.055769999
42	4	9	0.050969999
43	4	10	0.046870001
44	4	11	0.04205
