Point	Row	Column	MaxInt_110
1	1	1	2355.5996
2	1	2	2590.603
3	1	3	2822.783
4	1	4	2933.4585
5	1	5	2925.9106
6	1	6	2974.8418
7	1	7	2966.4399
8	1	8	2838.4319
9	1	9	2708.5398
10	1	10	2514.8613
11	1	11	2265.0845
12	2	1	2929.7285
13	2	2	3007.5286
14	2	3	3004.6086
15	2	4	3273.3567
16	2	5	3201.4841
17	2	6	3014.8547
18	2	7	2724.0581
19	2	8	2594.6428
20	2	9	2503.0505
21	2	10	2472.2434
22	2	11	2466.4277
23	3	1	2364.0603
24	3	2	2502.106
25	3	3	2666.8289
26	3	4	2835.5845
27	3	5	3042.4519
28	3	6	2904.0847
29	3	7	2740.0076
30	3	8	2661.3726
31	3	9	2658.1194
32	3	10	2675.981
33	3	11	2768.1204
34	4	1	2016.1689
35	4	2	2521.3154
36	4	3	2886.4336
37	4	4	2894.3481
38	4	5	3059.2825
39	4	6	3099.6646
40	4	7	3016.71
41	4	8	2916.6189
42	4	9	2770.7285
43	4	10	2527.4688
44	4	11	2216.7273
