Point	Row	Column	Norm_Int110
1	1	1	20.55497
2	1	2	21.220537
3	1	3	21.82789
4	1	4	21.787422
5	1	5	21.34922
6	1	6	21.763418
7	1	7	22.240515
8	1	8	21.935331
9	1	9	22.558006
10	1	10	22.139812
11	1	11	21.825829
12	2	1	20.581163
13	2	2	19.873974
14	2	3	18.789371
15	2	4	19.815708
16	2	5	19.075756
17	2	6	18.11594
18	2	7	16.739742
19	2	8	16.822113
20	2	9	17.393166
21	2	10	18.584105
22	2	11	20.422522
23	3	1	16.943026
24	3	2	16.788151
25	3	3	16.824358
26	3	4	17.401562
27	3	5	18.299362
28	3	6	17.607985
29	3	7	17.148626
30	3	8	17.443617
31	3	9	18.670502
32	3	10	20.435135
33	3	11	23.51045
34	4	1	17.788679
35	4	2	20.915102
36	4	3	22.466015
37	4	4	21.757109
38	4	5	22.821951
39	4	6	23.033844
40	4	7	22.731594
41	4	8	23.103762
42	4	9	22.957399
43	4	10	22.663816
44	4	11	21.517447
