Point	Row	Column	_s_FWHM
1	1	1	0.31761152
2	1	2	0.34936723
3	1	3	0.34756941
4	1	4	0.36064622
5	1	5	0.37892237
6	1	6	0.38371292
7	1	7	0.3788448
8	1	8	0.39037612
9	1	9	0.3877874
10	1	10	0.39798781
11	1	11	0.38030013
12	2	1	0.34889245
13	2	2	0.36630636
14	2	3	0.37850368
15	2	4	0.39327708
16	2	5	0.40212056
17	2	6	0.40948778
18	2	7	0.42012051
19	2	8	0.43098861
20	2	9	0.4272798
21	2	10	0.42628813
22	2	11	0.42285088
23	3	1	0.37716889
24	3	2	0.39654234
25	3	3	0.41634086
26	3	4	0.43115705
27	3	5	0.44787833
28	3	6	0.46532592
29	3	7	0.4711754
30	3	8	0.47720554
31	3	9	0.48357937
32	3	10	0.4753288
33	3	11	0.46550539
34	4	1	0.39642438
35	4	2	0.42043138
36	4	3	0.45395058
37	4	4	0.4670203
38	4	5	0.47608587
39	4	6	0.49236313
40	4	7	0.50735021
41	4	8	0.5174576
42	4	9	0.52108461
43	4	10	0.51555735
44	4	11	0.50972492
