Point	Row	Column	_s_MaxIntensity
1	1	1	0.027284302
2	1	2	0.036488339
3	1	3	0.037716433
4	1	4	0.037174951
5	1	5	0.04522831
6	1	6	0.041155923
7	1	7	0.03806876
8	1	8	0.037488643
9	1	9	0.039069295
10	1	10	0.049684692
11	1	11	0.055003211
12	2	1	0.032401286
13	2	2	0.039261956
14	2	3	0.042992532
15	2	4	0.045521311
16	2	5	0.046587128
17	2	6	0.046411905
18	2	7	0.047960959
19	2	8	0.052910101
20	2	9	0.048125125
21	2	10	0.054218985
22	2	11	0.063869819
23	3	1	0.035979629
24	3	2	0.041158531
25	3	3	0.047263511
26	3	4	0.049089406
27	3	5	0.053791922
28	3	6	0.061202515
29	3	7	0.060836252
30	3	8	0.058183897
31	3	9	0.058526885
32	3	10	0.065287694
33	3	11	0.065494403
34	4	1	0.033515919
35	4	2	0.043067299
36	4	3	0.051259089
37	4	4	0.053536579
38	4	5	0.054393366
39	4	6	0.05808118
40	4	7	0.063059226
41	4	8	0.060816988
42	4	9	0.062133588
43	4	10	0.067291804
44	4	11	0.079430744
