Point	Row	Column	Norm_d
1	1	1	0.17867613
2	1	2	0.29409042
3	1	3	0.40580156
4	1	4	0.48788768
5	1	5	0.52507329
6	1	6	0.51951861
7	1	7	0.46844622
8	1	8	0.40703595
9	1	9	0.26307669
10	1	10	0.16309212
11	1	11	0.011726585
12	2	1	0.6068508
13	2	2	0.74540967
14	2	3	0.87779665
15	2	4	0.95926553
16	2	5	1
17	2	6	0.97824413
18	2	7	0.92130846
19	2	8	0.79031014
20	2	9	0.63092113
21	2	10	0.46304584
22	2	11	0.2738775
23	3	1	0.56333899
24	3	2	0.71007562
25	3	3	0.85619503
26	3	4	0.924703
27	3	5	0.97577536
28	3	6	0.95525384
29	3	7	0.87579077
30	3	8	0.76454252
31	3	9	0.60715938
32	3	10	0.43095201
33	3	11	0.22712545
34	4	1	0.15923469
35	4	2	0.27048296
36	4	3	0.39284062
37	4	4	0.46304584
38	4	5	0.47878414
39	4	6	0.48680758
40	4	7	0.45810831
41	4	8	0.35827804
42	4	9	0.27264312
43	4	10	0.1311526
44	4	11	0
