Point	Row	Column	a_Ang
1	1	1	4.104044
2	1	2	4.1044288
3	1	3	4.1047702
4	1	4	4.1055655
5	1	5	4.1060286
6	1	6	4.1073022
7	1	7	4.1077809
8	1	8	4.1088367
9	1	9	4.10952
10	1	10	4.1105523
11	1	11	4.1109285
12	2	1	4.1013947
13	2	2	4.1021857
14	2	3	4.1050529
15	2	4	4.1059308
16	2	5	4.1079364
17	2	6	4.1094294
18	2	7	4.1121125
19	2	8	4.113946
20	2	9	4.1134281
21	2	10	4.1134944
22	2	11	4.1118422
23	3	1	4.1009378
24	3	2	4.1033964
25	3	3	4.1050887
26	3	4	4.1066246
27	3	5	4.1074843
28	3	6	4.1104941
29	3	7	4.1133728
30	3	8	4.1147323
31	3	9	4.1137786
32	3	10	4.1125202
33	3	11	4.1112905
34	4	1	4.0986099
35	4	2	4.0998683
36	4	3	4.1012721
37	4	4	4.1030755
38	4	5	4.1048121
39	4	6	4.1073303
40	4	7	4.1097574
41	4	8	4.1114988
42	4	9	4.1141319
43	4	10	4.1147985
44	4	11	4.1158767
