Point	Row	Column	a_Ang
1	1	1	4.2069702
2	1	2	4.207377
3	1	3	4.2079101
4	1	4	4.209219
5	1	5	4.2099085
6	1	6	4.2094674
7	1	7	4.2089214
8	1	8	4.209619
9	1	9	4.2100258
10	1	10	4.2110057
11	1	11	4.2122765
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	4.2120528
19	2	8	4.2060928
20	2	9	4.2026196
21	2	10	4.2044997
22	2	11	4.2066498
23	3	1	4.2008405
24	3	2	4.2002339
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	4.2094245
32	3	10	4.2038288
33	3	11	4.2027469
34	4	1	4.2044582
35	4	2	4.2050548
36	4	3	4.2054529
37	4	4	4.2041869
38	4	5	4.2042732
39	4	6	4.2035608
40	4	7	4.2032652
41	4	8	4.2029986
42	4	9	4.2038255
43	4	10	4.2035804
44	4	11	4.2049227
