Point	Row	Column	Frac_110
1	1	1	0.75196767
2	1	2	0.75348997
3	1	3	0.75123423
4	1	4	0.71188855
5	1	5	0.72329044
6	1	6	0.72137499
7	1	7	0.72239864
8	1	8	0.72074759
9	1	9	0.71853715
10	1	10	0.71595025
11	1	11	0.71657932
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	1
19	2	8	0.93255681
20	2	9	0.87974256
21	2	10	0.68793887
22	2	11	0.66782236
23	3	1	0.92086667
24	3	2	0.8594715
25	3	3	1
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	1
32	3	10	1
33	3	11	0.94267815
34	4	1	0.68817806
35	4	2	0.69350892
36	4	3	0.68398076
37	4	4	0.67783469
38	4	5	0.68322974
39	4	6	0.67688298
40	4	7	0.69772726
41	4	8	0.70026392
42	4	9	0.68005073
43	4	10	0.67278653
44	4	11	0.68240201
