Point	Row	Column	d_um
1	1	1	0.15488
2	1	2	0.16942
3	1	3	0.18381
4	1	4	0.19674
5	1	5	0.20589
6	1	6	0.2119
7	1	7	0.21144
8	1	8	0.20646
9	1	9	0.19758999
10	1	10	0.18652
11	1	11	0.17166001
12	2	1	0.18446
13	2	2	0.20345999
14	2	3	0.22318999
15	2	4	0.24047001
16	2	5	0.25049001
17	2	6	0.25881001
18	2	7	0.25861001
19	2	8	0.25209001
20	2	9	0.24112
21	2	10	0.2237
22	2	11	0.20611
23	3	1	0.18557
24	3	2	0.20681
25	3	3	0.22660001
26	3	4	0.24195001
27	3	5	0.25165999
28	3	6	0.25757
29	3	7	0.25716999
30	3	8	0.24936999
31	3	9	0.23817
32	3	10	0.22330999
33	3	11	0.20626999
34	4	1	0.15842
35	4	2	0.17411999
36	4	3	0.18712001
37	4	4	0.20024
38	4	5	0.20815
39	4	6	0.21261001
40	4	7	0.21077
41	4	8	0.20618001
42	4	9	0.19663
43	4	10	0.18471
44	4	11	0.17034
