Point	Row	Column	Fe_at
1	1	1	0.17947581
2	1	2	0.18128112
3	1	3	0.18351462
4	1	4	0.18508998
5	1	5	0.18364149
6	1	6	0.18395729
7	1	7	0.181256
8	1	8	0.1774358
9	1	9	0.17473511
10	1	10	0.1715187
11	1	11	0.1702951
12	2	1	0.1547846
13	2	2	0.15474349
14	2	3	0.15574892
15	2	4	0.15456891
16	2	5	0.1526498
17	2	6	0.1515689
18	2	7	0.14943102
19	2	8	0.1475683
20	2	9	0.1453581
21	2	10	0.14471641
22	2	11	0.14433588
23	3	1	0.13121539
24	3	2	0.12968931
25	3	3	0.12873679
26	3	4	0.1271071
27	3	5	0.12778682
28	3	6	0.1262091
29	3	7	0.1230897
30	3	8	0.12338359
31	3	9	0.12189411
32	3	10	0.12125431
33	3	11	0.12345901
34	4	1	0.1156797
35	4	2	0.11348501
36	4	3	0.1124275
37	4	4	0.1098681
38	4	5	0.1086104
39	4	6	0.106988
40	4	7	0.1072643
41	4	8	0.1057282
42	4	9	0.1055538
43	4	10	0.1086781
44	4	11	0.11482571
