Point	Row	Column	Norm_d
1	1	1	0
2	1	2	0.13990186
3	1	3	0.27836043
4	1	4	0.40277109
5	1	5	0.49081111
6	1	6	0.54863852
7	1	7	0.54421246
8	1	8	0.49629557
9	1	9	0.41094968
10	1	10	0.30443567
11	1	11	0.16145483
12	2	1	0.28461465
13	2	2	0.46743
14	2	3	0.6572693
15	2	4	0.82353508
16	2	5	0.91994613
17	2	6	1
18	2	7	0.9980756
19	2	8	0.93534112
20	2	9	0.82978928
21	2	10	0.66217649
22	2	11	0.49292794
23	3	1	0.29529491
24	3	2	0.49966323
25	3	3	0.69007987
26	3	4	0.83777541
27	3	5	0.93120372
28	3	6	0.98806888
29	3	7	0.98422015
30	3	8	0.90916961
31	3	9	0.80140477
32	3	10	0.65842396
33	3	11	0.49446744
34	4	1	0.034061387
35	4	2	0.18512461
36	4	3	0.3102088
37	4	4	0.43644762
38	4	5	0.51255655
39	4	6	0.55547005
40	4	7	0.5377658
41	4	8	0.49360147
42	4	9	0.40171269
43	4	10	0.28702012
44	4	11	0.14875397
