Point	Row	Column	_s_MaxIntensity
1	1	1	0.037995104
2	1	2	0.044335905
3	1	3	0.052394107
4	1	4	0.047223695
5	1	5	0.0499136
6	1	6	0.056119401
7	1	7	0.056496602
8	1	8	0.062684402
9	1	9	0.067856506
10	1	10	0.071920797
11	1	11	0.075041801
12	2	1	0.044658799
13	2	2	0.0440838
14	2	3	0.054594506
15	2	4	0.052408904
16	2	5	0.0556418
17	2	6	0.060456
18	2	7	0.070157506
19	2	8	0.071722001
20	2	9	0.084782399
21	2	10	0.082031906
22	2	11	0.089196488
23	3	1	0.043812599
24	3	2	0.0517928
25	3	3	0.055946
26	3	4	0.064016998
27	3	5	0.070712507
28	3	6	0.073500201
29	3	7	0.069826998
30	3	8	0.080185294
31	3	9	0.077647306
32	3	10	0.082126111
33	3	11	0.084843107
34	4	1	0.041189801
35	4	2	0.053037904
36	4	3	0.056862999
37	4	4	0.061588999
38	4	5	0.064999603
39	4	6	0.069565602
40	4	7	0.074912801
41	4	8	0.069550797
42	4	9	0.070895799
43	4	10	0.0808248
44	4	11	0.08081951
