Point	Row	Column	110_s_MaxIntensity
1	1	1	0.71618527
2	1	2	0.76202333
3	1	3	0.80121636
4	1	4	0.83208144
5	1	5	0.85324389
6	1	6	0.86375564
7	1	7	0.8631736
8	1	8	0.8515926
9	1	9	0.82962734
10	1	10	0.79835045
11	1	11	0.75919306
12	2	1	0.81425703
13	2	2	0.86873043
14	2	3	0.91538721
15	2	4	0.95215219
16	2	5	0.97733092
17	2	6	0.9897595
18	2	7	0.98890179
19	2	8	0.97488868
20	2	9	0.94849324
21	2	10	0.91105014
22	2	11	0.86432999
23	3	1	0.82095075
24	3	2	0.87653643
25	3	3	0.92417914
26	3	4	0.96172178
27	3	5	0.9873994
28	3	6	1
29	3	7	0.99897051
30	3	8	0.98445892
31	3	9	0.95728606
32	3	10	0.91885716
33	3	11	0.87102503
34	4	1	0.73129022
35	4	2	0.77969724
36	4	3	0.82118094
37	4	4	0.85381585
38	4	5	0.87612402
39	4	6	0.88703048
40	4	7	0.88605404
41	4	8	0.87332767
42	4	9	0.84957415
43	4	10	0.81602561
44	4	11	0.77429962
