Point	Row	Column	_s_Position
1	1	1	0.16885051
2	1	2	0.16048287
3	1	3	0.1521405
4	1	4	0.14163445
5	1	5	0.13695017
6	1	6	0.13150258
7	1	7	0.12691553
8	1	8	0.12537898
9	1	9	0.12343943
10	1	10	0.12044719
11	1	11	0.11574542
12	2	1	0.20043971
13	2	2	0.19315834
14	2	3	0.18392429
15	2	4	0.17343265
16	2	5	0.16714811
17	2	6	0.15887508
18	2	7	0.151631
19	2	8	0.1496
20	2	9	0.14612694
21	2	10	0.14334062
22	2	11	0.13731892
23	3	1	0.22516824
24	3	2	0.21612155
25	3	3	0.21077089
26	3	4	0.20438628
27	3	5	0.19319633
28	3	6	0.18661329
29	3	7	0.18104073
30	3	8	0.17624928
31	3	9	0.17069568
32	3	10	0.16839442
33	3	11	0.16097352
34	4	1	0.23237593
35	4	2	0.22923844
36	4	3	0.22269648
37	4	4	0.21763633
38	4	5	0.21277136
39	4	6	0.20645902
40	4	7	0.20081763
41	4	8	0.19621284
42	4	9	0.19197345
43	4	10	0.18693185
44	4	11	0.17864941
