Point	Row	Column	Norm_d
1	1	1	0.13944224
2	1	2	0.23886274
3	1	3	0.34643245
4	1	4	0.3975009
5	1	5	0.43082216
6	1	6	0.4505614
7	1	7	0.41198841
8	1	8	0.39550889
9	1	9	0.29246649
10	1	10	0.14559942
11	1	11	0
12	2	1	0.52408546
13	2	2	0.68109381
14	2	3	0.80351323
15	2	4	0.92031872
16	2	5	0.93299532
17	2	6	0.93716043
18	2	7	0.90347701
19	2	8	0.78594714
20	2	9	0.65881926
21	2	10	0.47573343
22	2	11	0.28848243
23	3	1	0.5028975
24	3	2	0.65900034
25	3	3	0.79808038
26	3	4	0.90619344
27	3	5	0.95907283
28	3	6	0.9424122
29	3	7	1
30	3	8	0.77960885
31	3	9	0.63980442
32	3	10	0.46559218
33	3	11	0.28286853
34	4	1	0.10431004
35	4	2	0.23850055
36	4	3	0.3830134
37	4	4	0.43969578
38	4	5	0.49275625
39	4	6	0.51992029
40	4	7	0.46287578
41	4	8	0.41561028
42	4	9	0.31474105
43	4	10	0.17801522
44	4	11	0.026258603
