FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.98124Co0.46731Fe0.29173Y0.03783Zr0.20313O3,01100,1,1,1,,0.10339000000000001,,,,,5.4000001,44.139998999999996,0.8899971170215855,2.149993035501583,1.4899951734406318,137.32655515643063,1.7287242,1.422236,0.8217846750000002,65.72537263095,0.9812431785425878,0.5148288645589536,1.511699208500968,1.8131211481166054,2.089399415466588,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.98284Co0.44875Fe0.30754Y0.03792Zr0.20579O3,01100,2,1,2,,0.10887999999999999,,,,,9.397999800000001,44.139998999999996,0.8900038246336621,2.1500092392835657,1.4900064030383782,137.32759014097405,1.7264112999999999,1.423599,0.8233836333333334,65.76513934825,0.9828357764193318,0.5155224740672528,1.5102632407606114,1.8096138212103292,2.088151739689552,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.97942Co0.4246Fe0.31876Y0.04615Zr0.21049O3,01100,3,1,3,,0.11482,,,,,13.39599,44.139998999999996,0.8899979261220538,2.14999499007013,1.4899965280020901,137.3266800006329,1.7178335,1.4288035,0.8269946333333333,66.1289315345,0.9794222822497428,0.5180932413543302,1.5047520460792054,1.8017003592833756,2.076650519130019,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.97537Co0.39837Fe0.33795Y0.04273Zr0.22095O3,01100,4,1,4,,0.11764000000000001,,,,,17.393998999999997,44.139998999999996,0.8900032931698652,2.150007955410348,1.490005513284381,137.3275081361102,1.7133781999999997,1.430316,0.8286395249999999,66.30492441265,0.9753663909581953,0.5194435724522848,1.5031698977081627,1.798134735709573,2.071150964315256,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.97743Co0.37758Fe0.35093Y0.04881Zr0.22268O3,01100,5,1,5,,0.11947999999999999,,,,,21.391991,44.139998999999996,0.8900028042488924,2.150006774309122,1.4900046947537637,137.3274326956041,1.7077649,1.434047,0.831542325,66.50293647660001,0.977426920282743,0.5211506597008128,1.4992582351269672,1.7918567100643539,2.064982991298808,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.97647Co0.35146Fe0.36424Y0.05065Zr0.23365O3,01100,6,1,6,,0.12057000000000001,,,,,25.389999,44.139998999999996,0.8899991400193049,2.1499979225185455,1.4899985602570385,137.32686730497875,1.6998514999999998,1.4377345,0.8341680333333334,66.8712124172,0.9764709435350121,0.5235746416785848,1.495406782349972,1.7862091337916748,2.053602175600106,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.97941Co0.33655Fe0.38417Y0.04751Zr0.23177O3,01100,7,1,7,,0.11844,,,,,29.38802,44.139998999999996,0.8899957533402248,2.14998974121515,1.4899928904235225,137.32634474039668,1.7019614,1.436942,0.8348201083333334,66.65484384075,0.9794146733043779,0.5229235829556562,1.496225833203532,1.784807140544567,2.0602605426320277,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.93974Co0.30641Fe0.37278Y0.06908Zr0.25173O3,01100,8,1,8,,0.11753,,,,,33.388008,44.139998999999996,0.8899966019874404,2.149991791317974,1.4899943111924563,137.32647568666204,1.6773167000000002,1.450071,0.8415509666666667,67.98105301795,0.9397435879331626,0.5306073694892802,1.4826803593189393,1.7705336577465236,2.020069851674727,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.89865Co0.28109Fe0.38123Y0.08324Zr0.25444O3,01100,9,1,9,,0.11184000000000001,,,,,37.384009999999996,44.139998999999996,0.8900009796891013,2.150002366664683,1.490001640153664,137.32715116602833,1.6660580999999999,1.4574075,0.8463573916666667,68.46687864655,0.8986490107902901,0.534195644010915,1.4752238935676418,1.7604875373268947,2.0057457544539044,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.96199Co0.28021Fe0.42445Y0.05188Zr0.24346O3,01100,10,1,10,4.116986799999999,0.10372999999999999,0.61011606,635.5147099999999,4.1161413,30.674532,41.381989000000004,44.139998999999996,0.8899977146450987,2.1499944791988335,1.4899961739564012,137.3266473697387,1.6906337,1.4432605,0.8404691083333333,67.03891135895,0.96199247021821,0.5264284715518794,1.489678737274964,1.7728149186959326,2.0484617751986356,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.93287Co0.26065Fe0.45153Y0.05045Zr0.23737O3,01100,11,1,11,4.1046696,0.095689997,0.56723171,898.45905,5.7128811,30.768852000000003,45.37999,44.139998999999996,0.8899957991378985,2.1499898518499796,1.4899929670960324,137.32635180697775,1.693573,1.4427530000000002,0.8418016083333333,66.71577113925,0.9328744032322763,0.5255136915491087,1.4901995364764304,1.7700048946758853,2.058379142771931,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
Ba0.97464Co0.46534Fe0.26501Y0.04474Zr0.22491O3,01100,12,2,1,,0.12462999999999999,,,,,5.4000001,31.643998999999997,0.8899964905073696,2.149991522012185,1.4899941245572816,137.32645848528713,1.7135206,1.4283655,0.8234094583333335,66.71829398029999,0.9746438432644777,0.5193964347480675,1.5052110415801734,1.8095421536366427,2.058302907532913,21_Apr_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,500.0,19.6,850,N,400.0,10,50.0,SiO2,17,0,32,0,0,21,0,23.333333333333332,0,0,240,0,0,120,0
