Point	Row	Column	Co_at
1	1	1	0.2358678
2	1	2	0.2263182
3	1	3	0.21450891
4	1	4	0.2016668
5	1	5	0.19094519
6	1	6	0.1778197
7	1	7	0.17002651
8	1	8	0.15796559
9	1	9	0.148049
10	1	10	0.14281902
11	1	11	0.13485099
12	2	1	0.23565517
13	2	2	0.22768763
14	2	3	0.2181135
15	2	4	0.20556362
16	2	5	0.1960461
17	2	6	0.1824003
18	2	7	0.17122519
19	2	8	0.1628505
20	2	9	0.15344089
21	2	10	0.14623451
22	2	11	0.13801439
23	3	1	0.229817
24	3	2	0.22214228
25	3	3	0.21087468
26	3	4	0.19985002
27	3	5	0.1906455
28	3	6	0.1778537
29	3	7	0.16775559
30	3	8	0.16478591
31	3	9	0.15704772
32	3	10	0.1477592
33	3	11	0.1419877
34	4	1	0.21732242
35	4	2	0.20996641
36	4	3	0.2026812
37	4	4	0.19052441
38	4	5	0.1796457
39	4	6	0.17051651
40	4	7	0.16356452
41	4	8	0.1569957
42	4	9	0.15081909
43	4	10	0.1452671
44	4	11	0.1390499
