Point	Row	Column	_s_Area
1	1	1	0.3831116
2	1	2	0.38142031
3	1	3	0.37554809
4	1	4	0.37275079
5	1	5	0.36841431
6	1	6	0.36210939
7	1	7	0.36410934
8	1	8	0.35014418
9	1	9	0.34883881
10	1	10	0.35915583
11	1	11	0.36845791
12	2	1	0.36986187
13	2	2	0.37122053
14	2	3	0.3643842
15	2	4	0.35748112
16	2	5	0.3546724
17	2	6	0.34728271
18	2	7	0.34395006
19	2	8	0.34076071
20	2	9	0.33718759
21	2	10	0.34162512
22	2	11	0.34797618
23	3	1	0.3577728
24	3	2	0.35304368
25	3	3	0.34643486
26	3	4	0.33834243
27	3	5	0.33306471
28	3	6	0.3274999
29	3	7	0.31364217
30	3	8	0.32396439
31	3	9	0.31933343
32	3	10	0.31730571
33	3	11	0.33118489
34	4	1	0.34078175
35	4	2	0.33485049
36	4	3	0.3253125
37	4	4	0.31923664
38	4	5	0.31185651
39	4	6	0.30478609
40	4	7	0.30337492
41	4	8	0.29689321
42	4	9	0.29499641
43	4	10	0.29752189
44	4	11	0.310132
