Point	Row	Column	_s_Sigma
1	1	1	0.038192999
2	1	2	0.038246602
3	1	3	0.0466264
4	1	4	0.043265
5	1	5	0.049364001
6	1	6	0.051256001
7	1	7	0.048005603
8	1	8	0.071227193
9	1	9	0.087680802
10	1	10	0.052889004
11	1	11	0.052197799
12	2	1	0.045317397
13	2	2	0.048999805
14	2	3	0.0489568
15	2	4	0.053619806
16	2	5	0.059390198
17	2	6	0.065383203
18	2	7	0.071161993
19	2	8	0.068624802
20	2	9	0.072429202
21	2	10	0.075622611
22	2	11	0.078190394
23	3	1	0.052905802
24	3	2	0.061276793
25	3	3	0.065711595
26	3	4	0.072422206
27	3	5	0.078680404
28	3	6	0.079307802
29	3	7	0.13084219
30	3	8	0.082359597
31	3	9	0.087288812
32	3	10	0.0943124
33	3	11	0.087801203
34	4	1	0.059364006
35	4	2	0.0750774
36	4	3	0.0875476
37	4	4	0.086776406
38	4	5	0.096373796
39	4	6	0.096533999
40	4	7	0.099544212
41	4	8	0.1062838
42	4	9	0.1108514
43	4	10	0.1094296
44	4	11	0.099269003
