Point	Row	Column	Zr_at
1	1	1	0.1025255
2	1	2	0.1037846
3	1	3	0.1063366
4	1	4	0.1118519
5	1	5	0.1126114
6	1	6	0.1182149
7	1	7	0.11708771
8	1	8	0.12977429
9	1	9	0.1340111
10	1	10	0.12408561
11	1	11	0.1228074
12	2	1	0.11389989
13	2	2	0.11497921
14	2	3	0.1220008
15	2	4	0.12496451
16	2	5	0.12824731
17	2	6	0.1361177
18	2	7	0.13219719
19	2	8	0.136659
20	2	9	0.1401784
21	2	10	0.13746251
22	2	11	0.13520628
23	3	1	0.1210371
24	3	2	0.12487669
25	3	3	0.13061169
26	3	4	0.13820021
27	3	5	0.1430932
28	3	6	0.14763109
29	3	7	0.15326378
30	3	8	0.1501264
31	3	9	0.15794492
32	3	10	0.15995771
33	3	11	0.1505404
34	4	1	0.13013911
35	4	2	0.1353236
36	4	3	0.14290939
37	4	4	0.14838871
38	4	5	0.1538059
39	4	6	0.15837111
40	4	7	0.16283302
41	4	8	0.166853
42	4	9	0.1681979
43	4	10	0.16815349
44	4	11	0.1673339
