Point	Row	Column	d_um
1	1	1	0.38532999
2	1	2	0.41857001
3	1	3	0.44488999
4	1	4	0.46825999
5	1	5	0.48119
6	1	6	0.48767999
7	1	7	0.48095
8	1	8	0.46829
9	1	9	0.44703001
10	1	10	0.41914999
11	1	11	0.38756999
12	2	1	0.45754999
13	2	2	0.50023001
14	2	3	0.53687
15	2	4	0.56641001
16	2	5	0.58767998
17	2	6	0.59239
18	2	7	0.58670002
19	2	8	0.57042998
20	2	9	0.54141003
21	2	10	0.50392997
22	2	11	0.45770001
23	3	1	0.45271999
24	3	2	0.49827
25	3	3	0.53579998
26	3	4	0.56505001
27	3	5	0.58333999
28	3	6	0.59092999
29	3	7	0.58468002
30	3	8	0.56722999
31	3	9	0.53799999
32	3	10	0.50294
33	3	11	0.45802999
34	4	1	0.38067999
35	4	2	0.41190001
36	4	3	0.44049999
37	4	4	0.4603
38	4	5	0.47363001
39	4	6	0.47918001
40	4	7	0.47451001
41	4	8	0.46263
42	4	9	0.44179001
43	4	10	0.41404
44	4	11	0.3768
