Point	Row	Column	Y_at
1	1	1	0.10235169
2	1	2	0.1036443
3	1	3	0.10477083
4	1	4	0.10529368
5	1	5	0.10574716
6	1	6	0.10613657
7	1	7	0.10575327
8	1	8	0.10605714
9	1	9	0.10529947
10	1	10	0.10559574
11	1	11	0.10356031
12	2	1	0.10500576
13	2	2	0.10530484
14	2	3	0.10679349
15	2	4	0.10772715
16	2	5	0.10749669
17	2	6	0.10678867
18	2	7	0.10739034
19	2	8	0.10460722
20	2	9	0.10607927
21	2	10	0.10478987
22	2	11	0.10520629
23	3	1	0.10347363
24	3	2	0.10441611
25	3	3	0.10497542
26	3	4	0.10590515
27	3	5	0.10666769
28	3	6	0.10640404
29	3	7	0.10564319
30	3	8	0.1062711
31	3	9	0.10612536
32	3	10	0.10593357
33	3	11	0.10626599
34	4	1	0.10116524
35	4	2	0.10393041
36	4	3	0.10511769
37	4	4	0.10465647
38	4	5	0.10391369
39	4	6	0.10364176
40	4	7	0.10462914
41	4	8	0.10483003
42	4	9	0.10423441
43	4	10	0.10362083
44	4	11	0.1089079
