Point	Row	Column	MaxInt_110
1	1	1	6089.9048
2	1	2	6441.3804
3	1	3	6757.6465
4	1	4	7444.1094
5	1	5	8559.8975
6	1	6	8680.3301
7	1	7	7440.8618
8	1	8	7101.3555
9	1	9	6819.2471
10	1	10	6182.1753
11	1	11	5716.4766
12	2	1	6375.4805
13	2	2	6549.3931
14	2	3	6964.3911
15	2	4	8043.915
16	2	5	6402.3496
17	2	6	2870.6106
18	2	7	9006.1436
19	2	8	7832.5967
20	2	9	6961.561
21	2	10	6367.6118
22	2	11	5827.8755
23	3	1	5810.8154
24	3	2	6347.3228
25	3	3	7025.4067
26	3	4	7939.0068
27	3	5	8477.5742
28	3	6	8483.8398
29	3	7	8560.375
30	3	8	7637.5386
31	3	9	6857.2856
32	3	10	6702.5747
33	3	11	6101.5381
34	4	1	5673.8564
35	4	2	6181.3687
36	4	3	6711.5967
37	4	4	6842.8413
38	4	5	7120.6948
39	4	6	7144.458
40	4	7	7067.7256
41	4	8	6764.7671
42	4	9	6443.7612
43	4	10	6149.0923
44	4	11	5734.7036
