Point	Row	Column	FWHM_111
1	1	1	0.35534614
2	1	2	0.34997979
3	1	3	0.35986513
4	1	4	0.36093938
5	1	5	0.36567143
6	1	6	0.37810984
7	1	7	0.35247681
8	1	8	0.35001394
9	1	9	0.36798793
10	1	10	0.35880476
11	1	11	0.36910656
12	2	1	0.35252792
13	2	2	0.35441646
14	2	3	0.36037418
15	2	4	0.46428469
16	2	5	0.8516165
17	2	6	
18	2	7	0.57421643
19	2	8	0.37490517
20	2	9	0.37588328
21	2	10	0.36922246
22	2	11	0.35593578
23	3	1	0.36348987
24	3	2	0.35816094
25	3	3	0.36958486
26	3	4	0.46669048
27	3	5	0.60823053
28	3	6	0.58949548
29	3	7	0.49628565
30	3	8	0.38183805
31	3	9	0.3590405
32	3	10	0.35026073
33	3	11	0.34940773
34	4	1	0.34251931
35	4	2	0.34522328
36	4	3	0.3416197
37	4	4	0.34924921
38	4	5	0.3531864
39	4	6	0.35442194
40	4	7	0.33558211
41	4	8	0.34647441
42	4	9	0.34543931
43	4	10	0.34603709
44	4	11	0.34238499
