Point	Row	Column	Pos_111
1	1	1	37.062851
2	1	2	37.064041
3	1	3	37.076485
4	1	4	37.093472
5	1	5	37.101757
6	1	6	37.092583
7	1	7	37.077446
8	1	8	37.07679
9	1	9	37.05682
10	1	10	37.057514
11	1	11	37.049194
12	2	1	37.069607
13	2	2	37.086021
14	2	3	37.108768
15	2	4	37.141068
16	2	5	37.198822
17	2	6	
18	2	7	37.110386
19	2	8	37.083183
20	2	9	37.078003
21	2	10	37.067467
22	2	11	37.060104
23	3	1	37.083687
24	3	2	37.087868
25	3	3	37.109943
26	3	4	37.144249
27	3	5	37.156967
28	3	6	37.147846
29	3	7	37.119209
30	3	8	37.089497
31	3	9	37.070202
32	3	10	37.04752
33	3	11	37.035118
34	4	1	37.043495
35	4	2	37.052494
36	4	3	37.056622
37	4	4	37.067757
38	4	5	37.071751
39	4	6	37.060162
40	4	7	37.050259
41	4	8	37.040577
42	4	9	37.029007
43	4	10	37.024429
44	4	11	37.007805
