Point	Row	Column	Frac_111
1	1	1	0.23852535
2	1	2	0.24666537
3	1	3	0.24900828
4	1	4	0.2115249
5	1	5	0.15068969
6	1	6	0.16229978
7	1	7	0.23640674
8	1	8	0.2471855
9	1	9	0.24229509
10	1	10	0.24815564
11	1	11	0.24798466
12	2	1	0.269862
13	2	2	0.28628761
14	2	3	0.25530726
15	2	4	0.13913651
16	2	5	0.040410791
17	2	6	0.10498793
18	2	7	0.072944902
19	2	8	0.20233648
20	2	9	0.23658423
21	2	10	0.25964487
22	2	11	0.27279249
23	3	1	0.29698539
24	3	2	0.30174494
25	3	3	0.28253847
26	3	4	0.18106881
27	3	5	0.084649086
28	3	6	0.068119287
29	3	7	0.1506646
30	3	8	0.25402313
31	3	9	0.29591179
32	3	10	0.29127479
33	3	11	0.29031745
34	4	1	0.27704579
35	4	2	0.27790558
36	4	3	0.27094698
37	4	4	0.27997917
38	4	5	0.27328649
39	4	6	0.27775669
40	4	7	0.27842423
41	4	8	0.27763769
42	4	9	0.2746354
43	4	10	0.27076313
44	4	11	0.26587632
