Point	Row	Column	a_Ang
1	1	1	4.1831412
2	1	2	4.1850557
3	1	3	4.1856384
4	1	4	4.1858201
5	1	5	4.1867642
6	1	6	4.1867919
7	1	7	4.186264
8	1	8	4.1849594
9	1	9	4.1854439
10	1	10	4.1833982
11	1	11	4.1814537
12	2	1	4.1858602
13	2	2	4.1860619
14	2	3	4.1855693
15	2	4	4.1871042
16	2	5	4.1873569
17	2	6	4.1789246
18	2	7	4.1882181
19	2	8	4.18505
20	2	9	4.1842375
21	2	10	4.1842074
22	2	11	4.1826153
23	3	1	4.1851778
24	3	2	4.1866946
25	3	3	4.1872263
26	3	4	4.1881633
27	3	5	4.1893497
28	3	6	4.1889586
29	3	7	4.1873446
30	3	8	4.1855564
31	3	9	4.1861639
32	3	10	4.1872373
33	3	11	4.1849966
34	4	1	4.1854601
35	4	2	4.1866994
36	4	3	4.1877337
37	4	4	4.1880713
38	4	5	4.1882968
39	4	6	4.1893673
40	4	7	4.1893568
41	4	8	4.1889319
42	4	9	4.1883769
43	4	10	4.1875615
44	4	11	4.1866441
