Point	Row	Column	Zr_at
1	1	1	0.058263388
2	1	2	0.0571515
3	1	3	0.057975966
4	1	4	0.059027169
5	1	5	0.059414431
6	1	6	0.057665065
7	1	7	0.056976564
8	1	8	0.056932881
9	1	9	0.053447533
10	1	10	0.052806746
11	1	11	0.052582994
12	2	1	0.080350593
13	2	2	0.082152896
14	2	3	0.083046541
15	2	4	0.08484108
16	2	5	0.083595373
17	2	6	0.082866594
18	2	7	0.082071006
19	2	8	0.079931863
20	2	9	0.078146026
21	2	10	0.073937178
22	2	11	0.069712512
23	3	1	0.095727593
24	3	2	0.097017013
25	3	3	0.097962663
26	3	4	0.097133711
27	3	5	0.096748464
28	3	6	0.096956477
29	3	7	0.09542542
30	3	8	0.094412044
31	3	9	0.093349412
32	3	10	0.088022709
33	3	11	0.08528059
34	4	1	0.089813992
35	4	2	0.090676114
36	4	3	0.088990062
37	4	4	0.089162163
38	4	5	0.090718575
39	4	6	0.088616304
40	4	7	0.087965466
41	4	8	0.087270685
42	4	9	0.086258948
43	4	10	0.086165428
44	4	11	0.082737297
