Point	Row	Column	_s_FWHM
1	1	1	0.11652678
2	1	2	0.114303
3	1	3	0.11595193
4	1	4	0.11805434
5	1	5	0.11882886
6	1	6	0.11533013
7	1	7	0.11395313
8	1	8	0.11386576
9	1	9	0.10689507
10	1	10	0.10561349
11	1	11	0.10516599
12	2	1	0.16070119
13	2	2	0.16430579
14	2	3	0.16609308
15	2	4	0.16968216
16	2	5	0.16719075
17	2	6	0.16573319
18	2	7	0.16414201
19	2	8	0.15986373
20	2	9	0.15629205
21	2	10	0.14787436
22	2	11	0.13942502
23	3	1	0.19145519
24	3	2	0.19403403
25	3	3	0.19592533
26	3	4	0.19426742
27	3	5	0.19349693
28	3	6	0.19391295
29	3	7	0.19085084
30	3	8	0.18882409
31	3	9	0.18669882
32	3	10	0.17604542
33	3	11	0.17056118
34	4	1	0.17962798
35	4	2	0.18135223
36	4	3	0.17798012
37	4	4	0.17832433
38	4	5	0.18143715
39	4	6	0.17723261
40	4	7	0.17593093
41	4	8	0.17454137
42	4	9	0.1725179
43	4	10	0.17233086
44	4	11	0.16547459
