Point	Row	Column	110_s_Area
1	1	1	0.94479311
2	1	2	0.94552475
3	1	3	0.94320112
4	1	4	0.94007182
5	1	5	0.94421178
6	1	6	0.94685435
7	1	7	0.94614327
8	1	8	0.94677895
9	1	9	0.94782341
10	1	10	0.94535774
11	1	11	0.95609057
12	2	1	0.90780652
13	2	2	0.90285134
14	2	3	0.90162009
15	2	4	0.89805567
16	2	5	0.89954907
17	2	6	0.89820701
18	2	7	0.89987278
19	2	8	0.89906418
20	2	9	0.90245605
21	2	10	0.9088698
22	2	11	0.92051387
23	3	1	0.8790887
24	3	2	0.87790477
25	3	3	0.87601477
26	3	4	0.8774181
27	3	5	0.87730873
28	3	6	0.87617892
29	3	7	0.8772462
30	3	8	0.87979156
31	3	9	0.87643766
32	3	10	0.88900751
33	3	11	0.89490163
34	4	1	0.88954109
35	4	2	0.88688904
36	4	3	0.88551122
37	4	4	0.88732105
38	4	5	0.8859064
39	4	6	0.88602769
40	4	7	0.88549918
41	4	8	0.88641894
42	4	9	0.88674057
43	4	10	0.88588911
44	4	11	0.89448839
