Point	Row	Column	d_um
1	1	1	0.13939001
2	1	2	0.14650001
3	1	3	0.15215001
4	1	4	0.15396
5	1	5	0.15293001
6	1	6	0.14991
7	1	7	0.14245
8	1	8	0.13395999
9	1	9	0.12339
10	1	10	0.11256
11	1	11	0.10088
12	2	1	0.25095999
13	2	2	0.2667
14	2	3	0.27587
15	2	4	0.27700999
16	2	5	0.26989001
17	2	6	0.25678
18	2	7	0.23702
19	2	8	0.21473999
20	2	9	0.18998
21	2	10	0.16602001
22	2	11	0.14427
23	3	1	0.28975001
24	3	2	0.30261999
25	3	3	0.30713999
26	3	4	0.30394
27	3	5	0.29269001
28	3	6	0.27485001
29	3	7	0.25148001
30	3	8	0.22581001
31	3	9	0.2008
32	3	10	0.1752
33	3	11	0.15132
34	4	1	0.18932
35	4	2	0.19484
36	4	3	0.19475
37	4	4	0.19221
38	4	5	0.18539999
39	4	6	0.17637999
40	4	7	0.16421001
41	4	8	0.15194
42	4	9	0.13751
43	4	10	0.12454
44	4	11	0.11154
