Point	Row	Column	_s_Area
1	1	1	0.47239655
2	1	2	0.47276238
3	1	3	0.47160056
4	1	4	0.47003591
5	1	5	0.47210589
6	1	6	0.47342718
7	1	7	0.47307163
8	1	8	0.47338948
9	1	9	0.4739117
10	1	10	0.47267887
11	1	11	0.47804528
12	2	1	0.45390326
13	2	2	0.45142567
14	2	3	0.45081005
15	2	4	0.44902784
16	2	5	0.44977453
17	2	6	0.4491035
18	2	7	0.44993639
19	2	8	0.44953209
20	2	9	0.45122802
21	2	10	0.4544349
22	2	11	0.46025693
23	3	1	0.43954435
24	3	2	0.43895239
25	3	3	0.43800738
26	3	4	0.43870905
27	3	5	0.43865436
28	3	6	0.43808946
29	3	7	0.4386231
30	3	8	0.43989578
31	3	9	0.43821883
32	3	10	0.44450375
33	3	11	0.44745082
34	4	1	0.44477054
35	4	2	0.44344452
36	4	3	0.44275561
37	4	4	0.44366053
38	4	5	0.4429532
39	4	6	0.44301385
40	4	7	0.44274959
41	4	8	0.44320947
42	4	9	0.44337028
43	4	10	0.44294456
44	4	11	0.4472442
