Point	Row	Column	Norm_d
1	1	1	0.7630468
2	1	2	0.86269212
3	1	3	0.9334572
4	1	4	0.95642626
5	1	5	0.95338625
6	1	6	0.89799023
7	1	7	0.79344708
8	1	8	0.65124136
9	1	9	0.50903565
10	1	10	0.35044757
11	1	11	0.23441987
12	2	1	0.74852222
13	2	2	0.84867424
14	2	3	0.94798177
15	2	4	1
16	2	5	0.9966222
17	2	6	0.95102179
18	2	7	0.85931432
19	2	8	0.74244213
20	2	9	0.59922308
21	2	10	0.43860835
22	2	11	0.28086472
23	3	1	0.47221753
24	3	2	0.56223613
25	3	3	0.62303662
26	3	4	0.67471713
27	3	5	0.68839723
28	3	6	0.65411246
29	3	7	0.60580981
30	3	8	0.52474242
31	3	9	0.40043911
32	3	10	0.30096269
33	3	11	0.18696167
34	4	1	0.15740584
35	4	2	0.19827732
36	4	3	0.24235772
37	4	4	0.2599223
38	4	5	0.28255361
39	4	6	0.26009122
40	4	7	0.23661543
41	4	8	0.19895288
42	4	9	0.12227664
43	4	10	0.07448066
44	4	11	0
