Point	Row	Column	y_mm
1	1	1	44.141998
2	1	2	44.141998
3	1	3	44.141998
4	1	4	44.141998
5	1	5	44.141998
6	1	6	44.141998
7	1	7	44.141998
8	1	8	44.141998
9	1	9	44.141998
10	1	10	44.141998
11	1	11	44.141998
12	2	1	31.642
13	2	2	31.642
14	2	3	31.642
15	2	4	31.642
16	2	5	31.642
17	2	6	31.642
18	2	7	31.642
19	2	8	31.642
20	2	9	31.642
21	2	10	31.642
22	2	11	31.642
23	3	1	19.148001
24	3	2	19.148001
25	3	3	19.148001
26	3	4	19.148001
27	3	5	19.148001
28	3	6	19.148001
29	3	7	19.148001
30	3	8	19.148001
31	3	9	19.148001
32	3	10	19.148001
33	3	11	19.148001
34	4	1	6.6500001
35	4	2	6.6500001
36	4	3	6.6500001
37	4	4	6.6500001
38	4	5	6.6500001
39	4	6	6.6500001
40	4	7	6.6500001
41	4	8	6.6500001
42	4	9	6.6500001
43	4	10	6.6500001
44	4	11	6.6500001
