Point	Row	Column	Y_at
1	1	1	0.15738188
2	1	2	0.16478762
3	1	3	0.16237557
4	1	4	0.16252981
5	1	5	0.1594051
6	1	6	0.16419984
7	1	7	0.16252458
8	1	8	0.15853196
9	1	9	0.15397561
10	1	10	0.14522457
11	1	11	0.14440122
12	2	1	0.15845034
13	2	2	0.16069931
14	2	3	0.16646646
15	2	4	0.16279656
16	2	5	0.16326217
17	2	6	0.1659164
18	2	7	0.16290541
19	2	8	0.15652765
20	2	9	0.15855898
21	2	10	0.1533967
22	2	11	0.15127766
23	3	1	0.15832029
24	3	2	0.15998165
25	3	3	0.16235921
26	3	4	0.15987448
27	3	5	0.15823172
28	3	6	0.16555174
29	3	7	0.16648893
30	3	8	0.15663885
31	3	9	0.1700702
32	3	10	0.15598242
33	3	11	0.14939116
34	4	1	0.15292789
35	4	2	0.1547519
36	4	3	0.1563209
37	4	4	0.16353649
38	4	5	0.16145127
39	4	6	0.16212009
40	4	7	0.1578594
41	4	8	0.16103871
42	4	9	0.15089504
43	4	10	0.15863022
44	4	11	0.15073328
