Point	Row	Column	110_s_Area
1	1	1	0.065529838
2	1	2	0.067562789
3	1	3	0.066831745
4	1	4	0.068810038
5	1	5	0.06729909
6	1	6	0.062597297
7	1	7	0.075089075
8	1	8	0.07764519
9	1	9	0.081259437
10	1	10	0.11627591
11	1	11	0.19242209
12	2	1	0.062471423
13	2	2	0.070006594
14	2	3	0.062698558
15	2	4	0.067420356
16	2	5	0.064388834
17	2	6	0.069228493
18	2	7	0.065810032
19	2	8	0.068803936
20	2	9	0.080913939
21	2	10	0.10272279
22	2	11	0.15676279
23	3	1	0.073546663
24	3	2	0.06954471
25	3	3	0.065766014
26	3	4	0.075264551
27	3	5	0.065614313
28	3	6	0.06847582
29	3	7	0.068208158
30	3	8	0.07240086
31	3	9	0.069868624
32	3	10	0.102672
33	3	11	0.16689664
34	4	1	0.070169024
35	4	2	0.066870846
36	4	3	0.063465759
37	4	4	0.068122305
38	4	5	0.078152582
39	4	6	0.07141789
40	4	7	0.084513448
41	4	8	0.085398257
42	4	9	0.077916712
43	4	10	0.11442786
44	4	11	0.18954563
