Point	Row	Column	Zr_at
1	1	1	0.3561224
2	1	2	0.36129212
3	1	3	0.3650066
4	1	4	0.36250943
5	1	5	0.36873323
6	1	6	0.36877817
7	1	7	0.35668463
8	1	8	0.3485553
9	1	9	0.3515183
10	1	10	0.33262655
11	1	11	0.31437302
12	2	1	0.36641842
13	2	2	0.36562839
14	2	3	0.36562189
15	2	4	0.36966747
16	2	5	0.36630392
17	2	6	0.35981703
18	2	7	0.3602649
19	2	8	0.36071503
20	2	9	0.35378775
21	2	10	0.34280732
22	2	11	0.32151142
23	3	1	0.35124534
24	3	2	0.36438206
25	3	3	0.36050314
26	3	4	0.36546659
27	3	5	0.36880592
28	3	6	0.3629126
29	3	7	0.35923243
30	3	8	0.36230874
31	3	9	0.33548215
32	3	10	0.34322414
33	3	11	0.31754947
34	4	1	0.34633803
35	4	2	0.35636488
36	4	3	0.35099971
37	4	4	0.34640032
38	4	5	0.35186803
39	4	6	0.35015941
40	4	7	0.34160334
41	4	8	0.34366551
42	4	9	0.3306919
43	4	10	0.3121829
44	4	11	0.30473605
