Point	Row	Column	_s_Area
1	1	1	0.032764919
2	1	2	0.033781394
3	1	3	0.033415873
4	1	4	0.034405019
5	1	5	0.033649545
6	1	6	0.031298649
7	1	7	0.037544537
8	1	8	0.038822595
9	1	9	0.040629718
10	1	10	0.058137957
11	1	11	0.096211046
12	2	1	0.031235712
13	2	2	0.035003297
14	2	3	0.031349279
15	2	4	0.033710178
16	2	5	0.032194417
17	2	6	0.034614246
18	2	7	0.032905016
19	2	8	0.034401968
20	2	9	0.040456969
21	2	10	0.051361393
22	2	11	0.078381397
23	3	1	0.036773331
24	3	2	0.034772355
25	3	3	0.032883007
26	3	4	0.037632275
27	3	5	0.032807156
28	3	6	0.03423791
29	3	7	0.034104079
30	3	8	0.03620043
31	3	9	0.034934312
32	3	10	0.051336002
33	3	11	0.083448321
34	4	1	0.035084512
35	4	2	0.033435423
36	4	3	0.03173288
37	4	4	0.034061152
38	4	5	0.039076291
39	4	6	0.035708945
40	4	7	0.042256724
41	4	8	0.042699128
42	4	9	0.038958356
43	4	10	0.057213932
44	4	11	0.094772816
