Point	Row	Column	_s_Sigma
1	1	1	0.31476375
2	1	2	0.32957524
3	1	3	0.32475114
4	1	4	0.32505962
5	1	5	0.31881019
6	1	6	0.32839969
7	1	7	0.32504916
8	1	8	0.31706393
9	1	9	0.30795121
10	1	10	0.29044914
11	1	11	0.28880244
12	2	1	0.31690067
13	2	2	0.32139862
14	2	3	0.33293292
15	2	4	0.32559311
16	2	5	0.32652435
17	2	6	0.3318328
18	2	7	0.32581082
19	2	8	0.31305531
20	2	9	0.31711796
21	2	10	0.30679339
22	2	11	0.30255532
23	3	1	0.31664059
24	3	2	0.31996331
25	3	3	0.32471842
26	3	4	0.31974897
27	3	5	0.31646344
28	3	6	0.33110347
29	3	7	0.33297786
30	3	8	0.31327769
31	3	9	0.3401404
32	3	10	0.31196484
33	3	11	0.29878232
34	4	1	0.30585578
35	4	2	0.30950379
36	4	3	0.3126418
37	4	4	0.32707298
38	4	5	0.32290253
39	4	6	0.32424018
40	4	7	0.3157188
41	4	8	0.32207742
42	4	9	0.30179009
43	4	10	0.31726044
44	4	11	0.30146655
