Point	Row	Column	Zr_at
1	1	1	0.48297179
2	1	2	0.49457982
3	1	3	0.49572656
4	1	4	0.48876759
5	1	5	0.49468115
6	1	6	0.48518491
7	1	7	0.47802815
8	1	8	0.48731375
9	1	9	0.47705388
10	1	10	0.47561616
11	1	11	0.46692663
12	2	1	0.50880742
13	2	2	0.50585574
14	2	3	0.5002892
15	2	4	0.50238049
16	2	5	0.510768
17	2	6	0.50877196
18	2	7	0.49671817
19	2	8	0.49504778
20	2	9	0.49141359
21	2	10	0.48909765
22	2	11	0.48526102
23	3	1	0.51081544
24	3	2	0.51241487
25	3	3	0.52149254
26	3	4	0.51544076
27	3	5	0.51856476
28	3	6	0.5144574
29	3	7	0.50887442
30	3	8	0.50652301
31	3	9	0.50041407
32	3	10	0.49391624
33	3	11	0.49185833
34	4	1	0.51384503
35	4	2	0.51621962
36	4	3	0.51416224
37	4	4	0.51484525
38	4	5	0.51337141
39	4	6	0.51062161
40	4	7	0.50525445
41	4	8	0.50341976
42	4	9	0.49475706
43	4	10	0.49578947
44	4	11	0.48399714
