Point	Row	Column	110_s_MaxIntensity
1	1	1	0.69950038
2	1	2	0.7129631
3	1	3	0.71586967
4	1	4	0.70804673
5	1	5	0.68995863
6	1	6	0.66265041
7	1	7	0.62762541
8	1	8	0.5866797
9	1	9	0.54172146
10	1	10	0.49460778
11	1	11	0.44701207
12	2	1	0.88862997
13	2	2	0.90718764
14	2	3	0.91119939
15	2	4	0.90040606
16	2	5	0.87550133
17	2	6	0.83803999
18	2	7	0.79024136
19	2	8	0.73472685
20	2	9	0.67424071
21	2	10	0.61140347
22	2	11	0.54852206
23	3	1	0.97445685
24	3	2	0.99545765
25	3	3	1
26	3	4	0.98778117
27	3	5	0.95961094
28	3	6	0.91730124
29	3	7	0.86342978
30	3	8	0.80102789
31	3	9	0.73324943
32	3	10	0.66308296
33	3	11	0.59313411
34	4	1	0.90948403
35	4	2	0.92862821
36	4	3	0.93276554
37	4	4	0.92163181
38	4	5	0.89594299
39	4	6	0.85731667
40	4	7	0.80805737
41	4	8	0.75088412
42	4	9	0.68863916
43	4	10	0.62403119
44	4	11	0.55943918
