Point	Row	Column	Norm_d
1	1	1	0.34121159
2	1	2	0.36559275
3	1	3	0.37405151
4	1	4	0.35340217
5	1	5	0.33996767
6	1	6	0.28909069
7	1	7	0.2227889
8	1	8	0.18833189
9	1	9	0.1143177
10	1	10	0.064435877
11	1	11	0
12	2	1	0.81079733
13	2	2	0.79387981
14	2	3	0.79661649
15	2	4	0.79002362
16	2	5	0.75133723
17	2	6	0.67035699
18	2	7	0.55890036
19	2	8	0.45440975
20	2	9	0.3602438
21	2	10	0.25737032
22	2	11	0.16407514
23	3	1	0.976614
24	3	2	0.99577063
25	3	3	1
26	3	4	0.9789775
27	3	5	0.89463866
28	3	6	0.80109465
29	3	7	0.69336981
30	3	8	0.5847742
31	3	9	0.44881204
32	3	10	0.34021646
33	3	11	0.23099887
34	4	1	0.8175146
35	4	2	0.82858562
36	4	3	0.82423186
37	4	4	0.79338229
38	4	5	0.73616123
39	4	6	0.65617615
40	4	7	0.56499565
41	4	8	0.47617862
42	4	9	0.36559275
43	4	10	0.27466103
44	4	11	0.19417839
