Point	Row	Column	Fe_at
1	1	1	0.0062340992
2	1	2	0.0067182002
3	1	3	0.0067718001
4	1	4	0.0067283008
5	1	5	0.0076849
6	1	6	0.0080716992
7	1	7	0.0084299007
8	1	8	0.0084172999
9	1	9	0.0098706
10	1	10	0.012522398
11	1	11	0.021007
12	2	1	0.0070090005
13	2	2	0.0074701994
14	2	3	0.0079754004
15	2	4	0.0079473006
16	2	5	0.0084193004
17	2	6	0.0086761005
18	2	7	0.0097596003
19	2	8	0.010276799
20	2	9	0.0117214
21	2	10	0.0148735
22	2	11	0.020797798
23	3	1	0.0094861994
24	3	2	0.0092368005
25	3	3	0.0100901
26	3	4	0.010766999
27	3	5	0.011925699
28	3	6	0.012583901
29	3	7	0.0134385
30	3	8	0.013692
31	3	9	0.015195998
32	3	10	0.0175259
33	3	11	0.024518702
34	4	1	0.0134738
35	4	2	0.0126119
36	4	3	0.0136917
37	4	4	0.013468
38	4	5	0.015141899
39	4	6	0.0155436
40	4	7	0.01668
41	4	8	0.0169857
42	4	9	0.018035
43	4	10	0.021964397
44	4	11	0.0307428
