Point	Row	Column	110_s_Position
1	1	1	0.32686758
2	1	2	0.34155101
3	1	3	0.35912359
4	1	4	0.37678143
5	1	5	0.39540961
6	1	6	0.41828817
7	1	7	0.43468884
8	1	8	0.4537814
9	1	9	0.46786919
10	1	10	0.48318595
11	1	11	0.487216
12	2	1	0.29906362
13	2	2	0.30856118
14	2	3	0.32019019
15	2	4	0.33352342
16	2	5	0.34664881
17	2	6	0.36163923
18	2	7	0.37664899
19	2	8	0.39025816
20	2	9	0.40156761
21	2	10	0.415259
22	2	11	0.42179134
23	3	1	0.28125659
24	3	2	0.28404903
25	3	3	0.29043281
26	3	4	0.29405656
27	3	5	0.30035037
28	3	6	0.30271044
29	3	7	0.31326899
30	3	8	0.31869921
31	3	9	0.32698256
32	3	10	0.33517981
33	3	11	0.33968905
34	4	1	0.27027199
35	4	2	0.26543859
36	4	3	0.26417261
37	4	4	0.26364341
38	4	5	0.26068398
39	4	6	0.2591534
40	4	7	0.259734
41	4	8	0.26262021
42	4	9	0.26355261
43	4	10	0.26648018
44	4	11	0.2680926
