Point	Row	Column	_s_MaxIntensity
1	1	1	0.074193291
2	1	2	0.072156802
3	1	3	0.073036604
4	1	4	0.075031109
5	1	5	0.071631603
6	1	6	0.068848692
7	1	7	0.065602504
8	1	8	0.067617401
9	1	9	0.067748398
10	1	10	0.061476693
11	1	11	0.091929801
12	2	1	0.084565707
13	2	2	0.084577493
14	2	3	0.086181
15	2	4	0.083666712
16	2	5	0.0862782
17	2	6	0.082022309
18	2	7	0.085060403
19	2	8	0.083591491
20	2	9	0.078073598
21	2	10	0.0804158
22	2	11	0.08033409
23	3	1	0.083844088
24	3	2	0.085824706
25	3	3	0.0878084
26	3	4	0.08995989
27	3	5	0.093505092
28	3	6	0.099927507
29	3	7	0.094869599
30	3	8	0.092463598
31	3	9	0.091378093
32	3	10	0.090088598
33	3	11	0.09034171
34	4	1	0.073518798
35	4	2	0.077848203
36	4	3	0.080376796
37	4	4	0.087696798
38	4	5	0.093608491
39	4	6	0.099180199
40	4	7	0.095560998
41	4	8	0.095971197
42	4	9	0.095052801
43	4	10	0.098364294
44	4	11	0.093999997
