Point	Row	Column	_s_Position
1	1	1	0.48162854
2	1	2	0.48107481
3	1	3	0.48182884
4	1	4	0.48275846
5	1	5	0.48129192
6	1	6	0.4814201
7	1	7	0.48133114
8	1	8	0.48211429
9	1	9	0.47975719
10	1	10	0.47536081
11	1	11	0.4603065
12	2	1	0.47761285
13	2	2	0.4769083
14	2	3	0.47627366
15	2	4	0.47725561
16	2	5	0.47683743
17	2	6	0.47710741
18	2	7	0.47536501
19	2	8	0.47498417
20	2	9	0.4724209
21	2	10	0.46657684
22	2	11	0.45511785
23	3	1	0.46840346
24	3	2	0.4694674
25	3	3	0.46751553
26	3	4	0.46588302
27	3	5	0.4632152
28	3	6	0.46162021
29	3	7	0.46049196
30	3	8	0.46043727
31	3	9	0.45747879
32	3	10	0.45266232
33	3	11	0.43692556
34	4	1	0.45466718
35	4	2	0.45660979
36	4	3	0.4530392
37	4	4	0.45365122
38	4	5	0.44796023
39	4	6	0.44644582
40	4	7	0.44308993
41	4	8	0.44273034
42	4	9	0.43980762
43	4	10	0.42924047
44	4	11	0.40672076
